List of IMB monthly fluxes likely to be corrupted by near-zero temperatures, inconsistent with nonzero salinity, in single points not detectable in whole-layer statistics

VARIABLE: fcondbot
1997C,7,1998
2004A,7,2004
2004B,7,2004
2004C,6,2004
2004C,7,2004
2004C,9,2004
2004C,10,2004
2004C,11,2004
2004E,8,2004
2004E,9,2004
2008B,4,2009
2009B,6,2009
2010A,7,2010
2010A,8,2010
2012F,6,2012
2012I,9,2012
2013B,7,2013
2013B,8,2013
2013F,8,2014
2014D,6,2014
2014F,6,2015
2011D,7,2011
2004A,8,2004
VARIABLE: ocean_heat_flux
1997C,7,1998
2002A,7,2002
2004A,7,2004
2004A,1,2005
2004B,7,2004
2004C,6,2004
2004C,7,2004
2004C,9,2004
2004C,10,2004
2004C,11,2004
2004E,8,2004
2004E,9,2004
2004E,11,2004
2011F,7,2011
2012M,8,2012
2008B,4,2009
2009B,6,2009
2010A,7,2010
2010A,8,2010
2012F,6,2012
2012I,9,2012
2013B,7,2013
2013B,8,2013
2013F,8,2014
2014D,6,2014
2014F,6,2015
2011D,7,2011
2004A,8,2004
VARIABLE: sensible_heat_uptake_lowest_layer
1997C,7,1998
2002A,7,2002
2004A,7,2004
2004B,7,2004
2004C,6,2004
2004C,7,2004
2004C,9,2004
2004C,10,2004
2004C,11,2004
2012M,8,2012
2008B,4,2009
2009B,6,2009
2010A,7,2010
2010A,8,2010
2012F,6,2012
2012I,9,2012
2013B,7,2013
2013B,8,2013
2013F,8,2014
2014D,6,2014
2014F,6,2015
2011D,7,2011
2004A,8,2004
